id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
217,Linus,Pauling,1962,Peace,California Institute of Technology (Caltech),Pasadena CA,USA,2/28/1901,8/19/1994,male,Portland OR,USA,US,Big Sur CA,USA,US,NA,1,"""for his fight against the nuclear arms race between East and West""",USA,Portland OR,USA,Big Sur CA,Pasadena CA,USA
462,Henry,Dunant,1901,Peace,NA,NA,NA,1828-05-08,10/30/1910,male,Geneva,Switzerland,CH,Heiden,Switzerland,CH,NA,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",Switzerland,Geneva,Switzerland,Heiden,NA,NA
463,Frédéric,Passy,1901,Peace,NA,NA,NA,1822-05-20,6/12/1912,male,Paris,France,FR,Paris,France,FR,NA,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",France,Paris,France,Paris,NA,NA
464,Élie,Ducommun,1902,Peace,NA,NA,NA,1833-02-19,12/7/1906,male,Geneva,Switzerland,CH,Bern,Switzerland,CH,NA,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",Switzerland,Geneva,Switzerland,Bern,NA,NA
465,Albert,Gobat,1902,Peace,NA,NA,NA,1843-05-21,3/16/1914,male,Tramelan,Switzerland,CH,Bern,Switzerland,CH,NA,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",Switzerland,Tramelan,Switzerland,Bern,NA,NA
466,Randal,Cremer,1903,Peace,NA,NA,NA,1828-03-18,7/22/1908,male,Fareham,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",United Kingdom,Fareham,United Kingdom,London,NA,NA
467,Institute of International Law,NA,1904,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",NA,NA,NA,NA,NA,NA
468,Bertha,von Suttner,1905,Peace,NA,NA,NA,1843-06-09,6/21/1914,female,Prague,Czech Republic,CZ,Vienna,Austria,AT,NA,1,"""for her audacity to oppose the horrors of war""",Austrian Empire (now Czech Republic),Prague,Austria,Vienna,NA,NA
470,Theodore,Roosevelt,1906,Peace,NA,NA,NA,1858-10-27,1/6/1919,male,New York NY,USA,US,Oyster Bay NY,USA,US,NA,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",USA,New York NY,USA,Oyster Bay NY,NA,NA
471,Ernesto Teodoro,Moneta,1907,Peace,NA,NA,NA,1833-09-20,2/10/1918,male,Milan,Italy,IT,Milan,Italy,IT,NA,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",Austrian Empire (now Italy),Milan,Italy,Milan,NA,NA
472,Louis,Renault,1907,Peace,Sorbonne University,Paris,France,1843-05-21,2/8/1918,male,Autun,France,FR,Barbizon,France,FR,NA,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",France,Autun,France,Barbizon,Paris,France
473,Klas Pontus,Arnoldson,1908,Peace,NA,NA,NA,1844-10-27,2/20/1916,male,Gothenburg,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Sweden,Gothenburg,Sweden,Stockholm,NA,NA
474,Fredrik,Bajer,1908,Peace,NA,NA,NA,1837-04-21,1/22/1922,male,Næstved,Denmark,DK,Copenhagen,Denmark,DK,NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Denmark,Næstved,Denmark,Copenhagen,NA,NA
475,Auguste,Beernaert,1909,Peace,NA,NA,NA,1829-07-26,10/6/1912,male,Ostend,Belgium,BE,Lucerne,Switzerland,CH,NA,2,"""for their prominent position in the international movement for peace and arbitration""",Belgium,Ostend,Switzerland,Lucerne,NA,NA
476,Paul Henri,d'Estournelles de Constant,1909,Peace,NA,NA,NA,1852-11-22,5/15/1924,male,La Flèche,France,FR,Paris,France,FR,NA,2,"""for their prominent position in the international movement for peace and arbitration""",France,La Flèche,France,Paris,NA,NA
477,Permanent International Peace Bureau,NA,1910,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",NA,NA,NA,NA,NA,NA
478,Tobias,Asser,1911,Peace,NA,NA,NA,1838-04-28,7/29/1913,male,Amsterdam,Netherlands,NL,the Hague,Netherlands,NL,NA,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",the Netherlands,Amsterdam,the Netherlands,the Hague,NA,NA
479,Alfred,Fried,1911,Peace,NA,NA,NA,1864-11-11,5/5/1921,male,Vienna,Austria,AT,Vienna,Austria,AT,NA,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",Austria,Vienna,Austria,Vienna,NA,NA
480,Elihu,Root,1912,Peace,NA,NA,NA,1845-02-15,2/7/1937,male,Clinton NY,USA,US,New York NY,USA,US,NA,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",USA,Clinton NY,USA,New York NY,NA,NA
481,Henri,La Fontaine,1913,Peace,NA,NA,NA,1854-04-22,5/14/1943,male,Brussels,Belgium,BE,Brussels,Belgium,BE,NA,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",Belgium,Brussels,Belgium,Brussels,NA,NA
482,International Committee of the Red Cross,NA,1917,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",NA,NA,NA,NA,NA,NA
482,International Committee of the Red Cross,NA,1944,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for the great work it has performed during the war on behalf of humanity""",NA,NA,NA,NA,NA,NA
482,International Committee of the Red Cross,NA,1963,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",NA,NA,NA,NA,NA,NA
483,Woodrow,Wilson,1919,Peace,NA,NA,NA,1856-12-28,2/3/1924,male,Staunton VA,USA,US,Washington DC,USA,US,NA,1,"""for his role as founder of the League of Nations""",USA,Staunton VA,USA,Washington DC,NA,NA
484,Léon,Bourgeois,1920,Peace,NA,NA,NA,1851-05-21,9/29/1925,male,Paris,France,FR,Épernay,France,FR,NA,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",France,Paris,France,Épernay,NA,NA
485,Hjalmar,Branting,1921,Peace,NA,NA,NA,1860-11-23,2/24/1925,male,Stockholm,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",Sweden,Stockholm,Sweden,Stockholm,NA,NA
486,Christian,Lange,1921,Peace,NA,NA,NA,1869-09-17,12/11/1938,male,Stavanger,Norway,NO,Oslo,Norway,NO,NA,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",Norway,Stavanger,Norway,Oslo,NA,NA
487,Fridtjof,Nansen,1922,Peace,NA,NA,NA,1861-10-10,5/13/1930,male,Oslo,Norway,NO,Oslo,Norway,NO,NA,1,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",Norway,Kristiania (now Oslo),Norway,Oslo,NA,NA
488,Sir Austen,Chamberlain,1925,Peace,NA,NA,NA,1863-10-16,3/16/1937,male,Birmingham,United Kingdom,GB,London,United Kingdom,GB,NA,2,"""for his crucial role in bringing about the Locarno Treaty""",United Kingdom,Birmingham,United Kingdom,London,NA,NA
489,Charles G.,Dawes,1925,Peace,NA,NA,NA,1865-08-27,4/23/1951,male,Marietta OH,USA,US,Evanston IL,USA,US,NA,2,"""for his crucial role in bringing about the Dawes Plan""",USA,Marietta OH,USA,Evanston IL,NA,NA
490,Aristide,Briand,1926,Peace,NA,NA,NA,1862-03-28,3/7/1932,male,Nantes,France,FR,Paris,France,FR,NA,2,"""for their crucial role in bringing about the Locarno Treaty""",France,Nantes,France,Paris,NA,NA
491,Gustav,Stresemann,1926,Peace,NA,NA,NA,1878-05-10,10/3/1929,male,Berlin,Germany,DE,Berlin,Germany,DE,NA,2,"""for their crucial role in bringing about the Locarno Treaty""",Germany,Berlin,Germany,Berlin,NA,NA
492,Ferdinand,Buisson,1927,Peace,NA,NA,NA,1841-12-20,2/16/1932,male,Paris,France,FR,Thieuloy-Saint-Antoine,France,FR,NA,2,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",France,Paris,France,Thieuloy-Saint-Antoine,NA,NA
493,Ludwig,Quidde,1927,Peace,NA,NA,NA,1858-03-23,3/4/1941,male,Bremen,Germany,DE,Geneva,Switzerland,CH,NA,2,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",Germany,Bremen,Switzerland,Geneva,NA,NA
494,Frank B.,Kellogg,1929,Peace,NA,NA,NA,1856-12-22,12/21/1937,male,Potsdam NY,USA,US,St. Paul MN,USA,US,NA,1,"""for his crucial role in bringing about the Briand-Kellogg Pact""",USA,Potsdam NY,USA,St. Paul MN,NA,NA
495,Nathan,Söderblom,1930,Peace,NA,NA,NA,1866-01-15,7/12/1931,male,Trönö,Sweden,SE,Uppsala,Sweden,SE,NA,1,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",Sweden,Trönö,Sweden,Uppsala,NA,NA
496,Jane,Addams,1931,Peace,NA,NA,NA,1860-09-06,5/21/1935,female,Cedarville IL,USA,US,Chicago IL,USA,US,NA,2,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",USA,Cedarville IL,USA,Chicago IL,NA,NA
497,Nicholas Murray,Butler,1931,Peace,Columbia University,New York NY,USA,1862-04-02,12/7/1947,male,Elizabeth NJ,USA,US,New York NY,USA,US,NA,2,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",USA,Elizabeth NJ,USA,New York NY,New York NY,USA
498,Sir Norman,Angell,1933,Peace,NA,NA,NA,1872-12-26,10/7/1967,male,Holbeach,United Kingdom,GB,Croydon,United Kingdom,GB,NA,1,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",United Kingdom,Holbeach,United Kingdom,Croydon,NA,NA
499,Arthur,Henderson,1934,Peace,NA,NA,NA,1863-09-13,10/20/1935,male,Glasgow,Scotland,GB,London,United Kingdom,GB,NA,1,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",Scotland,Glasgow,United Kingdom,London,NA,NA
500,Carl,von Ossietzky,1935,Peace,NA,NA,NA,1889-10-03,5/4/1938,male,Hamburg,Germany,DE,Berlin,Germany,DE,NA,1,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",Germany,Hamburg,Germany,Berlin,NA,NA
501,Carlos,Saavedra Lamas,1936,Peace,NA,NA,NA,1878-11-01,5/5/1959,male,Buenos Aires,Argentina,AR,Buenos Aires,Argentina,AR,NA,1,"""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",Argentina,Buenos Aires,Argentina,Buenos Aires,NA,NA
502,Robert,Cecil,1937,Peace,NA,NA,NA,1864-09-14,11/24/1958,male,London,United Kingdom,GB,Tunbridge Wells,United Kingdom,GB,NA,1,"""for his tireless effort in support of the League of Nations disarmament and peace""",United Kingdom,London,United Kingdom,Tunbridge Wells,NA,NA
503,Nansen International Office for Refugees,NA,1938,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe""",NA,NA,NA,NA,NA,NA
505,Cordell,Hull,1945,Peace,NA,NA,NA,1871-10-02,7/23/1955,male,Olympus TN,USA,US,Bethesda MD,USA,US,NA,1,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations""",USA,Olympus TN,USA,Bethesda MD,NA,NA
506,Emily Greene,Balch,1946,Peace,NA,NA,NA,1867-01-08,1/9/1961,female,Boston MA,USA,US,Cambridge MA,USA,US,NA,2,"""for her lifelong work for the cause of peace""",USA,Jamaica Plain MA (now Boston MA),USA,Cambridge MA,NA,NA
507,John R.,Mott,1946,Peace,NA,NA,NA,1865-05-25,1/31/1955,male,Livingston Manor NY,USA,US,NA,USA,US,NA,2,"""for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries""",USA,Livingston Manor NY,USA,NA,NA,NA
508,Friends Service Council,NA,1947,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",NA,NA,NA,NA,NA,NA
509,American Friends Service Committee,NA,1947,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",NA,NA,NA,NA,NA,NA
510,Lord,Boyd Orr,1949,Peace,NA,NA,NA,1880-09-23,6/25/1971,male,Kilmaurs,Scotland,GB,Edzell,Scotland,GB,NA,1,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",Scotland,Kilmaurs,Scotland,Edzell,NA,NA
511,Ralph,Bunche,1950,Peace,Harvard University,Cambridge MA,USA,8/7/1904,12/9/1971,male,Detroit MI,USA,US,New York NY,USA,US,NA,1,"""for his work as mediator in Palestine in 1948-1949""",USA,Detroit MI,USA,New York NY,Cambridge MA,USA
512,Léon,Jouhaux,1951,Peace,NA,NA,NA,1879-07-01,4/28/1954,male,Paris,France,FR,Paris,France,FR,NA,1,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",France,Paris,France,Paris,NA,NA
513,Albert,Schweitzer,1952,Peace,NA,NA,NA,1875-01-14,9/4/1965,male,Kaysersberg,France,FR,Lambaréné,Gabon,GA,NA,1,"""for his altruism reverence for life and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one""",Germany (now France),Kaysersberg,Gabon,Lambaréné,NA,NA
514,George C.,Marshall,1953,Peace,NA,NA,NA,1880-12-31,10/16/1959,male,Uniontown PA,USA,US,Washington DC,USA,US,NA,1,"""for proposing and supervising the plan for the economic recovery of Europe""",USA,Uniontown PA,USA,Washington DC,NA,NA
515,Office of the United Nations High Commissioner for Refugees,NA,1954,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",NA,NA,NA,NA,NA,NA
515,Office of the United Nations High Commissioner for Refugees,NA,1981,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for promoting the fundamental rights of refugees""",NA,NA,NA,NA,NA,NA
516,Lester Bowles,Pearson,1957,Peace,NA,NA,NA,1897-04-23,12/27/1972,male,Toronto,Canada,CA,Ottawa,Canada,CA,NA,1,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",Canada,Toronto,Canada,Ottawa,NA,NA
517,Georges,Pire,1958,Peace,NA,NA,NA,2/10/1910,1/30/1969,male,Dinant,Belgium,BE,Leuven,Belgium,BE,NA,1,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",Belgium,Dinant,Belgium,Leuven,NA,NA
518,Philip,Noel-Baker,1959,Peace,NA,NA,NA,1889-11-01,10/8/1982,male,London,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""for his longstanding contribution to the cause of disarmament and peace""",United Kingdom,London,United Kingdom,London,NA,NA
519,Albert,Luthuli,1960,Peace,NA,NA,NA,NA,7/21/1967,male,Bulawayo,Zimbabwe,ZW,Stanger,South Africa,ZA,NA,1,"""for his non-violent struggle against apartheid""",Southern Rhodesia (now Zimbabwe),Bulawayo,South Africa,Stanger,NA,NA
520,Dag,Hammarskjöld,1961,Peace,NA,NA,NA,7/29/1905,9/18/1961,male,Jönköping,Sweden,SE,Ndola,Zambia,ZM,NA,1,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",Sweden,Jönköping,Northern Rhodesia (now Zambia),Ndola,NA,NA
523,League of Red Cross Societies,NA,1963,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",NA,NA,NA,NA,NA,NA
524,Martin Luther,King Jr.,1964,Peace,NA,NA,NA,1/15/1929,4/4/1968,male,Atlanta GA,USA,US,Memphis TN,USA,US,NA,1,"""for his non-violent struggle for civil rights for the Afro-American population""",USA,Atlanta GA,USA,Memphis TN,NA,NA
525,United Nations Children's Fund,NA,1965,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",NA,NA,NA,NA,NA,NA
526,René,Cassin,1968,Peace,NA,NA,NA,1887-10-05,2/20/1976,male,Bayonne,France,FR,Paris,France,FR,NA,1,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",France,Bayonne,France,Paris,NA,NA
527,International Labour Organization,NA,1969,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for creating international legislation insuring certain norms for working conditions in every country""",NA,NA,NA,NA,NA,NA
528,Norman,Borlaug,1970,Peace,NA,NA,NA,3/25/1914,9/12/2009,male,Cresco IA,USA,US,Dallas TX,USA,US,NA,1,"""for having given a well-founded hope - the green revolution""",USA,Cresco IA,USA,Dallas TX,NA,NA
529,Willy,Brandt,1971,Peace,NA,NA,NA,12/18/1913,10/8/1992,male,Lübeck,Germany,DE,Unkel,Germany,DE,NA,1,"""for paving the way for a meaningful dialogue between East and West""",Germany,Lübeck,Germany,Unkel,NA,NA
530,Henry,Kissinger,1973,Peace,NA,NA,NA,5/27/1923,NA,male,Fürth,Germany,DE,NA,NA,NA,NA,2,"""for jointly having negotiated a cease fire in Vietnam in 1973""",Germany,Fürth,NA,NA,NA,NA
531,Le Duc Tho,NA,1973,Peace,NA,NA,NA,10/14/1911,10/13/1990,male,Nam Ha province,Vietnam,VN,Hanoi,Vietnam,VN,NA,2,"""for jointly having negotiated a cease fire in Vietnam in 1973""",Vietnam,Nam Ha province,Vietnam,Hanoi,NA,NA
532,Seán,MacBride,1974,Peace,NA,NA,NA,1/26/1904,1/15/1988,male,Paris,France,FR,Dublin,Ireland,IE,NA,2,"""for his efforts to secure and develop human rights throughout the world""",France,Paris,Ireland,Dublin,NA,NA
533,Eisaku,Sato,1974,Peace,NA,NA,NA,3/27/1901,6/3/1975,male,Tabuse,Japan,JP,Tokyo,Japan,JP,NA,2,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",Japan,Tabuse,Japan,Tokyo,NA,NA
534,Andrei,Sakharov,1975,Peace,NA,NA,NA,5/21/1921,12/14/1989,male,Moscow,Russia,RU,Moscow,Russia,RU,NA,1,"""for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations""",Russia,Moscow,USSR (now Russia),Moscow,NA,NA
535,Betty,Williams,1976,Peace,NA,NA,NA,5/22/1943,NA,female,Belfast,Northern Ireland,GB,NA,NA,NA,NA,2,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",Northern Ireland,Belfast,NA,NA,NA,NA
536,Mairead,Corrigan,1976,Peace,NA,NA,NA,1/27/1944,NA,female,Belfast,Northern Ireland,GB,NA,NA,NA,NA,2,"""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",Northern Ireland,Belfast,NA,NA,NA,NA
537,Amnesty International,NA,1977,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for worldwide respect for human rights""",NA,NA,NA,NA,NA,NA
538,Anwar,al-Sadat,1978,Peace,NA,NA,NA,12/25/1918,10/6/1981,male,Mit Abu al-Kawm,Egypt,EG,Cairo,Egypt,EG,NA,2,"""for jointly having negotiated peace between Egypt and Israel in 1978""",Egypt,Mit Abu al-Kawm,Egypt,Cairo,NA,NA
539,Menachem,Begin,1978,Peace,NA,NA,NA,8/16/1913,3/9/1992,male,Brest Litovsk,Belarus,BY,Tel Aviv,Israel,IL,NA,2,"""for jointly having negotiated peace between Egypt and Israel in 1978""",Russian Empire (now Belarus),Brest Litovsk,Israel,Tel Aviv,NA,NA
540,Anjezë Gonxhe,Bojaxhiu,1979,Peace,NA,NA,NA,8/26/1910,9/5/1997,female,Skopje,North Macedonia,MK,Calcutta,India,IN,NA,1,"""for her work for bringing help to suffering humanity""",Ottoman Empire (now North Macedonia),Uskup (now Skopje),India,Calcutta,NA,NA
541,Adolfo,Pérez Esquivel,1980,Peace,NA,NA,NA,11/26/1931,NA,male,Buenos Aires,Argentina,AR,NA,NA,NA,NA,1,"""for being a source of inspiration to repressed people especially in Latin America""",Argentina,Buenos Aires,NA,NA,NA,NA
543,Alva,Myrdal,1982,Peace,NA,NA,NA,1/31/1902,2/1/1986,female,Uppsala,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for their work for disarmament and nuclear and weapon-free zones""",Sweden,Uppsala,Sweden,Stockholm,NA,NA
544,Alfonso,García Robles,1982,Peace,NA,NA,NA,3/20/1911,9/2/1991,male,Zamora,Mexico,MX,Mexico City,Mexico,MX,NA,2,"""for their work for disarmament and nuclear and weapon-free zones""",Mexico,Zamora,Mexico,Mexico City,NA,NA
545,Lech,Walesa,1983,Peace,NA,NA,NA,9/29/1943,NA,male,Popowo,Poland,PL,NA,NA,NA,NA,1,"""for non-violent struggle for free trade unions and human rights in Poland""",Poland,Popowo,NA,NA,NA,NA
546,Desmond,Tutu,1984,Peace,NA,NA,NA,10/7/1931,NA,male,Klerksdorp,South Africa,ZA,NA,NA,NA,NA,1,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in  South Africa""",South Africa,Klerksdorp,NA,NA,NA,NA
547,International Physicians for the Prevention of Nuclear War,NA,1985,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of  nuclear  war""",NA,NA,NA,NA,NA,NA
548,Elie,Wiesel,1986,Peace,NA,NA,NA,9/30/1928,7/2/2016,male,Sighet,Romania,RO,New York NY,USA,US,NA,1,"""for being a messenger to mankind: his message is one of peace atonement and dignity""",Romania,Sighet,USA,New York NY,NA,NA
